,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
81,Sulphur,1,US,1554927504,57,30.24,-93.38,86.0,11.41
82,New Norfolk,75,AU,1554927374,76,-42.78,147.06,48.2,6.93
83,Batemans Bay,0,AU,1554927331,85,-35.71,150.18,48.99,4.0
84,Sao Joao da Barra,75,BR,1554922800,78,-21.64,-41.05,78.8,12.75
85,Zhangjiakou,88,CN,1554927566,92,40.77,114.88,30.27,2.73
86,Zhezkazgan,44,KZ,1554927567,66,47.8,67.71,42.33,12.24
87,Caravelas,80,BR,1554927567,100,-17.73,-39.27,80.22,11.23
88,Ostrovnoy,76,RU,1554927567,84,68.05,39.51,20.55,7.43
89,Nazarovo,0,RU,1554927567,61,56.01,90.42,19.2,6.76
90,Saskylakh,64,RU,1554927568,75,71.97,114.09,-0.52,8.21
91,Blackwater,0,GB,1554927563,63,51.33,-0.78,46.4,10.29
92,Dikson,56,RU,1554927568,100,73.51,80.55,9.48,10.33
93,Nikolskoye,90,RU,1554927336,86,59.7,30.79,33.8,8.95
94,Mehamn,75,NO,1554925800,90,71.03,27.85,35.6,18.34
95,Angoche,56,MZ,1554927569,99,-16.23,39.91,83.28,11.56
96,Iralaya,40,HN,1554922800,70,15.0,-83.23,84.2,7.65
97,Belyy Yar,0,RU,1554924600,46,53.6,91.39,32.0,11.18
98,Isla Mujeres,5,MX,1554927142,58,21.23,-86.73,82.4,9.17
99,Carnarvon,0,ZA,1554927570,57,-30.97,22.13,58.62,8.43
100,Bialystok,80,PL,1554927528,70,53.13,23.15,37.0,6.98
101,Viedma,0,AR,1554927570,63,-40.81,-62.99,62.22,13.58
102,Tiksi,48,RU,1554927570,77,71.64,128.87,4.08,2.62
103,Hithadhoo,36,MV,1554927571,100,-0.6,73.08,83.46,2.73
104,Cidreira,0,BR,1554927571,71,-30.17,-50.22,73.2,11.56
105,Durant,1,US,1554927447,30,33.99,-96.37,87.8,25.28
106,Tecpan,40,GT,1554927334,57,14.76,-90.99,77.0,6.93
107,Alofi,92,NU,1554922800,94,-19.06,-169.92,78.8,4.7
108,Arraial do Cabo,75,BR,1554922800,74,-22.97,-42.02,80.6,3.36
109,Ballina,75,IE,1554927491,61,54.11,-9.15,50.0,4.7
110,Erice,40,IT,1554927504,67,38.04,12.59,63.0,18.34
111,La Palma,36,CO,1554927573,80,5.36,-74.39,75.63,2.62
112,Torbay,90,CA,1554927513,75,47.66,-52.73,37.0,11.41
113,Saryozek,20,KZ,1554927573,87,44.36,77.98,37.47,2.62
114,Port Alfred,0,ZA,1554927380,94,-33.59,26.89,64.0,1.99
115,Yuncheng,64,CN,1554927574,86,35.03,111.0,40.62,2.73
116,Saint-Joseph,75,FR,1554927479,87,43.56,6.97,57.2,5.82
117,Rio Gallegos,0,AR,1554922800,54,-51.62,-69.22,55.4,13.87
118,Sao Filipe,8,CV,1554927575,94,14.9,-24.5,72.03,18.95
119,Ouadda,12,CF,1554927575,66,8.07,22.4,77.79,9.44
120,Kargasok,80,RU,1554927575,71,59.06,80.87,22.44,5.41
121,Cap Malheureux,40,MU,1554927545,88,-19.98,57.61,78.01,6.93
122,Las Choapas,5,MX,1554925560,55,17.91,-94.09,87.8,11.41
123,Revda,0,RU,1554927576,75,67.94,34.55,12.9,3.18
124,Pevek,0,RU,1554927576,71,69.7,170.27,12.9,12.35
125,Fairbanks,1,US,1554927246,66,64.84,-147.72,50.0,3.36
126,Yarmouth,0,GB,1554927545,75,50.71,-1.5,48.2,3.36
127,Ericeira,20,PT,1554927423,76,38.96,-9.42,57.2,14.99
128,Namibe,0,AO,1554927577,100,-15.19,12.15,75.27,13.91
129,Sri Aman,88,MY,1554922800,94,1.24,111.46,78.8,1.12
130,Crotone,8,IT,1554927390,98,39.09,17.12,58.8,12.35
131,Saldanha,36,PT,1554927578,73,41.42,-6.55,45.03,4.85
132,Svetlogorsk,0,RU,1554924600,73,53.14,59.15,42.8,2.73
133,Macon,20,US,1554927516,39,32.84,-83.63,84.0,4.7
134,Manzhouli,0,CN,1554927579,59,49.6,117.43,17.22,4.07
135,Sambava,24,MG,1554927579,100,-14.27,50.17,81.75,14.25
136,Gunnedah,0,AU,1554926160,69,-30.98,150.25,35.6,12.75
137,Katangli,0,RU,1554927579,83,51.71,143.23,22.17,7.09
138,Pacific Grove,1,US,1554927564,58,36.62,-121.92,70.0,13.87
139,Saint George,40,GR,1554925800,67,39.45,22.34,57.2,10.29
140,Porto Novo,75,BR,1554922800,61,-23.68,-45.44,77.0,11.41
141,Sioux Lookout,40,CA,1554922800,44,50.1,-91.92,32.0,6.93
142,Tocopilla,0,CL,1554927580,96,-22.09,-70.2,66.18,4.18
143,Guanare,56,VE,1554927581,37,9.04,-69.74,95.7,5.19
144,Yar-Sale,0,RU,1554927581,59,66.83,70.83,5.52,11.79
145,Antalaha,36,MG,1554927425,92,-14.9,50.28,77.97,9.22
146,Anloga,20,GH,1554922800,83,5.79,0.9,84.2,9.17
147,Abu Samrah,0,SY,1554927581,70,35.3,37.18,52.05,8.66
148,Griffin,1,US,1554927457,34,33.25,-84.26,84.99,3.36
149,Windhoek,0,NA,1554922830,24,-22.57,17.08,71.6,3.36
150,Hay River,40,CA,1554922800,28,60.82,-115.79,55.4,2.24
151,Avera,1,US,1554927544,30,33.19,-82.53,84.2,3.36
152,Salalah,40,OM,1554925800,74,17.01,54.1,82.4,5.82
153,Comacchio,0,IT,1554927566,71,44.7,12.18,57.99,3.36
154,Ca Mau,44,VN,1554927455,99,9.18,105.15,78.42,4.07
155,Hobart,75,AU,1554927434,76,-42.88,147.33,48.2,6.93
156,Bambanglipuro,32,ID,1554927583,96,-7.95,110.28,70.05,2.62
157,Husavik,0,CA,1554927321,37,50.56,-96.99,43.0,8.01
158,San Andres,80,PH,1554927584,100,13.32,122.68,80.49,8.43
159,Avarua,8,CK,1554926400,65,-21.21,-159.78,82.4,6.93
160,Kapaa,40,US,1554927495,65,22.08,-159.32,78.8,16.11
161,Suntar,92,RU,1554927584,82,62.16,117.65,32.52,6.42
162,Wum,20,CM,1554927585,95,6.39,10.08,67.53,2.39
163,Bredasdorp,0,ZA,1554927318,88,-34.53,20.04,66.2,6.93
164,Colares,20,PT,1554927423,76,38.8,-9.45,57.2,14.99
165,Pangody,48,RU,1554927585,79,65.85,74.49,6.69,7.65
166,Souillac,0,FR,1554927514,81,45.6,-0.6,53.6,8.05
167,Zhigansk,92,RU,1554927586,89,66.77,123.37,29.28,10.45
168,Mahebourg,40,MU,1554927244,83,-20.41,57.7,78.8,5.82
169,Dese,90,IT,1554927553,87,45.53,12.3,57.2,5.82
170,Uribia,0,CO,1554927586,37,11.71,-72.27,94.44,12.46
171,Gravdal,0,NO,1554927482,74,59.79,5.78,41.0,1.72
172,Nanortalik,64,GL,1554927587,89,60.14,-45.24,33.87,13.58
173,Gaomi,0,CN,1554922800,61,36.37,119.8,46.4,2.24
174,Ancud,75,CL,1554922800,66,-41.87,-73.83,55.4,10.29
175,Ribeira Grande,75,PT,1554926400,93,38.52,-28.7,62.6,9.17
176,Oranjestad,75,AW,1554922800,70,12.52,-70.03,84.2,19.46
177,Singapore,75,MY,1554927444,94,1.29,103.85,80.6,2.24
178,Georgetown,40,GY,1554922800,70,6.8,-58.16,91.4,13.87
179,Rocha,0,UY,1554927589,58,-34.48,-54.34,75.45,5.19
180,Bathsheba,75,BB,1554922800,58,13.22,-59.52,84.2,20.8
181,Maniitsoq,0,GL,1554927589,79,65.42,-52.9,33.33,9.78
182,Lebork,20,PL,1554927560,77,54.54,17.75,37.0,5.82
183,Norman Wells,20,CA,1554922800,67,65.28,-126.83,23.0,9.17
184,Lakes Entrance,0,AU,1554927313,85,-37.88,147.99,48.0,1.01
185,Kapit,88,MY,1554927590,95,2.02,112.94,72.3,2.17
186,Laguna,5,MX,1554925200,23,27.52,-110.01,86.0,8.05
187,Xinmin,0,CN,1554924600,48,42.0,122.83,32.0,2.24
188,Sabha,0,LY,1554927591,21,27.03,14.43,66.27,11.23
189,East London,8,ZA,1554927591,96,-33.02,27.91,74.55,25.55
190,Adwa,12,ET,1554927591,52,14.16,38.9,61.23,2.17
191,Kavieng,76,PG,1554927592,100,-2.57,150.8,82.47,0.16
192,Zhangye,0,CN,1554927592,66,38.94,100.46,28.83,4.74
193,Athni,8,IN,1554927592,65,16.73,75.07,71.58,5.86
194,Bismarck,90,US,1554927377,63,46.81,-100.78,32.0,16.11
195,Anaconda,90,US,1554927388,64,46.13,-112.94,37.4,17.22
196,Zonguldak,76,TR,1554927593,96,41.25,31.83,49.26,2.62
197,Termez,75,AF,1554925800,72,37.23,67.28,64.4,9.17
198,Nieves,0,MX,1554927593,15,24.0,-103.02,82.83,12.01
199,Ambon,0,FR,1554927569,81,47.55,-2.56,48.99,11.41
200,Saint-Augustin,0,FR,1554927514,76,44.83,-0.61,53.01,11.41
201,Mahanoro,8,MG,1554927594,94,-19.9,48.8,73.83,2.17
202,Ixtapa,5,MX,1554927327,48,20.71,-105.21,82.4,12.75
203,Victoria,75,BN,1554924600,88,5.28,115.24,78.8,5.08
204,Butaritari,56,KI,1554927595,100,3.07,172.79,81.57,15.03
205,Kaitangata,0,NZ,1554927487,91,-46.28,169.85,48.99,1.99
206,Yerofey Pavlovich,0,RU,1554927595,69,53.97,121.97,19.56,2.39
207,Pedras de Fogo,0,BR,1554922800,58,-7.4,-35.11,86.0,10.29
208,Half Moon Bay,1,US,1554927422,36,37.46,-122.43,69.01,12.75
209,Marion,1,US,1554927481,47,35.21,-90.2,87.01,17.22
210,Calvinia,0,ZA,1554927596,95,-31.47,19.78,52.32,2.51
211,Kimbe,48,PG,1554927597,100,-5.56,150.15,78.24,2.06
212,Tecoanapa,5,MX,1554925380,74,16.99,-99.26,82.4,9.17
213,Bratsk,40,RU,1554924600,50,56.15,101.63,30.2,17.9
214,Lagos,40,NG,1554922800,84,6.46,3.39,86.0,5.82
215,Sarkand,92,KZ,1554927597,100,45.41,79.91,48.27,4.74
216,Bushehr,0,IR,1554926400,56,28.97,50.84,73.4,1.39
217,Sorland,20,NO,1554925800,73,67.67,12.69,24.8,2.24
218,Hasaki,75,JP,1554927143,100,35.73,140.83,41.0,13.87
219,Tura,0,IN,1554927598,91,25.52,90.21,62.76,2.17
220,Alice Springs,0,AU,1554924600,44,-23.7,133.88,60.8,5.82
221,Port Blair,0,IN,1554927598,100,11.67,92.75,84.81,1.95
222,Sur,44,OM,1554927599,87,22.57,59.53,80.58,5.97
223,Camrose,75,CA,1554927381,57,53.01,-112.84,55.0,8.05
224,Tabas,0,IR,1554926400,49,33.6,56.92,68.0,4.7
225,Piranhas,20,BR,1554922800,44,-9.61,-37.76,93.2,2.24
226,Lasa,75,CY,1554927397,72,34.92,32.53,62.6,11.41
227,Constitucion,5,MX,1554927017,10,23.99,-104.67,80.6,10.29
228,Leshukonskoye,88,RU,1554927600,83,64.9,45.76,30.9,7.54
229,Tuktoyaktuk,90,CA,1554922800,77,69.44,-133.03,6.8,11.41
230,Klaksvik,80,FO,1554925800,80,62.23,-6.59,39.2,6.93
231,Ambunti,24,PG,1554927602,100,-4.22,142.82,75.09,2.06
232,Pochutla,40,MX,1554927434,48,15.74,-96.47,91.0,17.22
233,Ilulissat,20,GL,1554925800,80,69.22,-51.1,30.2,9.17
234,Sisimiut,44,GL,1554927443,96,66.94,-53.67,27.21,1.5
235,Hobyo,8,SO,1554927603,91,5.35,48.53,79.23,7.76
236,Tilichiki,20,RU,1554927604,88,60.47,166.1,18.12,3.85
237,Guerrero Negro,0,MX,1554927604,24,27.97,-114.04,80.13,14.25
238,Ankang,36,CN,1554927604,97,32.73,108.99,40.17,1.95
239,Chuy,0,UY,1554927604,64,-33.69,-53.46,76.35,11.9
240,Mokhotlong,8,LS,1554927605,78,-29.29,29.06,45.03,2.95
241,Tuatapere,36,NZ,1554927005,97,-46.13,167.69,48.99,7.31
242,Palkino,0,RU,1554922800,74,57.54,28.01,35.6,6.71
243,Barrow,76,AR,1554927544,87,-38.31,-60.23,61.59,12.46
244,Jishou,100,CN,1554927605,100,28.26,109.7,47.91,4.41
245,Carauari,36,BR,1554927606,74,-4.88,-66.9,85.71,4.41
246,Dorado,75,PR,1554927450,54,18.46,-66.27,84.2,9.17
247,Gap,56,FR,1554927330,83,44.56,6.08,45.0,1.83
248,San Cristobal,75,EC,1554927481,52,-0.39,-78.55,73.4,18.34
249,Pisco,0,PE,1554922800,30,-13.71,-76.2,71.6,9.17
250,Kitimat,75,CA,1554922800,70,54.02,-128.69,44.6,12.75
251,Vaitape,20,PF,1554927589,100,-16.52,-151.75,81.39,12.8
252,Coihaique,20,CL,1554922800,55,-45.58,-72.07,60.8,3.36
253,Ketchikan,75,US,1554926880,75,55.34,-131.65,46.4,3.36
254,Kasongo-Lunda,56,CD,1554927608,89,-6.48,16.82,72.57,2.73
255,Thinadhoo,80,MV,1554927608,100,0.53,72.93,83.01,2.39
256,Campbell River,75,CA,1554927312,81,50.02,-125.24,51.8,8.05
257,Uvira,56,CD,1554927609,100,-3.41,29.14,62.67,3.29
258,Sampit,76,ID,1554927609,96,-2.54,112.95,74.1,6.2
259,Thunder Bay,75,CA,1554927346,34,48.41,-89.26,39.99,10.29
260,Wilmington,75,US,1554927330,34,39.75,-75.55,64.99,18.34
261,Clyde River,20,CA,1554922800,71,70.47,-68.59,8.6,3.36
262,Arnprior,75,CA,1554927604,55,45.44,-76.36,39.99,11.41
263,Bahir Dar,92,ET,1554927521,36,11.59,37.39,69.51,6.42
264,Uberlandia,40,BR,1554922800,54,-18.92,-48.28,80.6,3.36
265,Iqaluit,20,CA,1554927122,77,63.75,-68.52,5.0,27.51
266,Necochea,92,AR,1554927611,94,-38.55,-58.74,60.15,13.8
267,Aswan,0,EG,1554922800,15,24.09,32.9,78.8,10.29
268,Sergeyevka,0,KZ,1554927611,78,53.88,67.42,33.96,2.84
269,Basco,1,US,1554927473,51,40.33,-91.2,68.0,21.92
270,Massakory,0,TD,1554927612,32,13.0,15.73,83.64,6.64
271,Aldan,64,RU,1554927612,66,58.61,125.39,27.12,4.52
272,Muravlenko,0,RU,1554927612,61,63.79,74.5,-2.59,1.95
273,Tautira,40,PF,1554927143,66,-17.73,-149.15,86.0,4.7
274,Tezu,0,IN,1554927613,75,27.93,96.16,54.57,1.61
275,Lokosovo,44,RU,1554927613,89,61.13,74.84,22.98,8.1
276,Cherskiy,32,RU,1554927613,64,68.75,161.3,16.77,2.39
277,Xai-Xai,92,MZ,1554927613,94,-25.04,33.64,77.7,11.79
278,Champerico,5,MX,1554925560,24,16.38,-93.6,93.2,3.36
279,Cayenne,40,GF,1554924600,74,4.94,-52.33,84.2,12.75
280,Provideniya,44,RU,1554927614,100,64.42,-173.23,19.47,7.43
281,Orihuela,75,ES,1554927595,44,38.09,-0.95,60.8,12.75
282,Kandrian,48,PG,1554927615,98,-6.21,149.55,76.17,2.73
283,Jaguaribe,12,BR,1554927615,59,-5.88,-38.62,83.28,2.51
284,Yazman,0,SY,1554927615,74,36.74,38.46,49.08,8.43
285,Kaura Namoda,48,NG,1554927615,41,12.59,6.58,86.25,5.41
286,Darhan,0,MN,1554927616,44,49.49,105.92,28.29,7.76
287,Barstow,40,US,1554927137,4,31.46,-103.39,95.0,33.33
288,Gouyave,20,GD,1554922800,70,12.16,-61.73,84.2,19.46
289,Javanrud,20,IR,1554926400,71,34.8,46.49,50.0,2.17
290,Tulum,5,MX,1554927316,48,20.21,-87.46,84.2,3.36
291,Knysna,0,ZA,1554926400,88,-34.04,23.05,64.4,9.17
292,Kalabo,68,ZM,1554927617,96,-15.0,22.67,65.91,7.99
293,Buala,92,SB,1554927617,98,-8.15,159.59,80.49,11.12
294,Alta Floresta,75,BR,1554922800,94,-9.87,-56.08,77.0,1.12
295,Deputatskiy,36,RU,1554927617,88,69.3,139.9,8.4,3.62
296,Kasongo,88,CD,1554927618,97,-4.43,26.67,69.33,1.83
297,Mezen,92,RU,1554927618,76,65.85,44.24,26.67,7.65
298,Alexandria,1,US,1554927496,42,31.31,-92.44,87.01,10.29
299,Montalvo,75,ES,1554924600,87,40.94,-5.66,42.8,4.7
300,Tari,0,NG,1554927619,26,12.41,4.49,83.28,6.76
301,Semenivka,8,UA,1554927619,81,52.18,32.58,45.48,10.78
302,Belmonte,8,PT,1554927387,78,40.36,-7.35,50.0,1.99
303,Mabaruma,24,GY,1554927619,76,8.2,-59.78,82.38,10.11
304,Richards Bay,48,ZA,1554927620,95,-28.77,32.06,66.72,1.39
305,Ayacucho,20,PE,1554926400,31,-13.16,-74.23,77.0,6.93
306,Marau,32,BR,1554927620,59,-28.45,-52.2,74.37,2.62
307,Sinnamary,92,GF,1554927620,97,5.38,-52.96,79.5,8.43
308,Huarmey,8,PE,1554927621,62,-10.07,-78.15,75.27,3.96
309,Surt,0,LY,1554927621,64,31.21,16.59,65.37,11.56
310,Carballo,40,ES,1554927604,87,43.21,-8.69,55.0,5.82
311,Samarai,88,PG,1554927621,100,-10.62,150.67,81.75,6.87
312,Verkhnyaya Inta,0,RU,1554927622,80,65.99,60.32,10.2,4.74
313,Fairview,20,US,1554927616,28,40.81,-74.0,61.0,6.93
314,Xichang,36,CN,1554927624,52,27.88,102.25,53.04,1.61
315,Fonte Boa,80,BR,1554927624,78,-2.51,-66.09,82.47,6.42
316,Oktyabrskoye,0,RU,1554927345,42,56.73,85.44,26.6,4.47
317,Faanui,56,PF,1554927624,100,-16.48,-151.75,81.12,9.1
318,Nelson Bay,92,AU,1554927444,93,-32.72,152.14,60.01,8.05
319,Luderitz,24,NA,1554927625,89,-26.65,15.16,58.08,9.33
320,Bichura,0,RU,1554927625,47,50.59,107.6,30.99,5.86
321,Akdepe,0,TM,1554924600,66,42.05,59.39,59.0,2.24
322,Fare,48,PF,1554927625,100,-16.7,-151.02,83.01,12.12
323,Vanimo,12,PG,1554927626,100,-2.67,141.3,81.12,3.06
324,Orlik,64,RU,1554927626,75,52.51,99.83,21.18,4.07
325,Maceio,20,BR,1554922800,58,-9.67,-35.74,86.0,14.99
326,Camacha,20,PT,1554926400,67,33.08,-16.33,60.8,8.05
327,Geraldton,20,CA,1554922800,26,49.72,-86.95,30.2,14.99
328,Semey,0,KZ,1554927627,55,50.41,80.25,39.72,8.55
329,Ypsonas,40,CY,1554926526,77,34.69,32.96,62.6,6.93
330,Lorengau,8,PG,1554927627,100,-2.02,147.27,82.02,2.39
331,Rypefjord,90,NO,1554925800,100,70.63,23.67,33.8,28.86
332,Yulara,0,AU,1554922800,37,-25.24,130.99,66.2,8.05
333,Meadow Lake,75,CA,1554925740,40,54.13,-108.44,53.6,12.75
334,Los Angeles,1,US,1554927478,15,34.05,-118.24,79.0,12.75
335,Tena,75,EC,1554922800,59,-0.99,-77.82,89.6,4.7
336,Havoysund,90,NO,1554925800,92,71.0,24.66,35.6,28.86
337,Phichit,8,TH,1554927629,66,16.44,100.37,80.76,6.98
338,Bayanday,76,RU,1554927629,75,53.07,105.52,27.57,5.64
339,Bijie,92,CN,1554927629,97,27.3,105.3,56.73,2.62
340,Rosarito,75,CO,1554926400,100,4.91,-75.23,75.2,13.87
341,Lobito,24,AO,1554927629,93,-12.35,13.55,71.4,2.62
342,Gamba,0,CN,1554927630,54,28.28,88.52,1.65,2.28
343,Williston,75,US,1554927425,50,48.15,-103.62,34.0,11.41
344,Katobu,24,ID,1554927630,100,-4.94,122.53,79.68,4.63
345,Ashta,0,IN,1554927630,72,16.95,74.41,69.87,5.41
346,Jertih,75,MY,1554922800,88,5.74,102.5,80.6,2.24
347,Rome,0,IT,1554927544,71,41.89,12.48,54.0,4.7
348,Itagi,64,BR,1554927631,94,-14.16,-40.01,73.38,0.27
349,Kuytun,80,RU,1554927631,69,54.34,101.51,34.86,8.32
350,Nezhinka,0,RU,1554924600,70,51.77,55.37,42.8,6.71
351,Meulaboh,80,ID,1554927632,100,4.14,96.13,79.23,4.41
352,Qandala,0,SO,1554927428,92,11.47,49.87,71.22,2.62
353,Kiboga,8,UG,1554927632,87,0.92,31.77,67.35,3.06
354,Beaufort,75,MY,1554924600,88,5.36,115.76,78.8,3.18
355,Rawson,0,AR,1554927633,45,-43.3,-65.11,64.83,5.3
356,Tutoia,75,BR,1554922800,66,-2.76,-42.27,86.0,8.05
357,Olavarria,76,AR,1554927633,70,-36.89,-60.32,67.98,13.69
358,Strezhevoy,90,RU,1554924600,92,60.73,77.6,23.0,6.71
359,Tahe,0,CN,1554927633,67,52.34,124.71,17.94,3.4
360,Quatre Cocos,40,MU,1554927545,88,-20.21,57.76,78.01,6.93
361,Coquimbo,0,CL,1554922800,63,-29.95,-71.34,64.4,12.75
362,Shunyi,0,CN,1554927615,57,40.13,116.65,54.0,4.47
363,Marawi,64,PH,1554927454,93,8.0,124.29,73.99,1.99
364,Stephenville Crossing,90,CA,1554927357,74,48.5,-58.44,33.8,6.93
365,Yamoussoukro,0,CI,1554927125,70,6.81,-5.27,86.0,4.7
366,College,1,US,1554927322,66,64.86,-147.8,50.0,3.36
367,Aklavik,40,CA,1554922800,66,68.22,-135.01,14.0,2.24
368,Pinawa,0,CA,1554927635,50,50.15,-95.88,41.52,13.35
369,Arlit,0,NE,1554927635,20,18.74,7.39,73.11,7.09
370,Lompoc,1,US,1554927569,45,34.64,-120.46,77.0,17.22
371,Ambositra,56,MG,1554927636,97,-20.53,47.24,61.41,2.39
372,Iskateley,48,RU,1554927636,90,67.68,53.15,9.75,0.6
373,Lavrentiya,48,RU,1554927636,100,65.58,-170.99,15.33,6.42
374,Okhotsk,88,RU,1554927394,93,59.36,143.24,26.85,5.19
375,Kinablangan,68,PH,1554927637,100,7.69,126.55,78.78,2.28
376,Kaohsiung,75,TW,1554927628,94,22.62,120.31,75.99,3.36
